Accx | Accy | Accz | Roll | Pitch | Yaw | Time(ms)
m/s^2 | m/s^2 | m/s^2 | grad | grad | grad | millisegundo
-0.39 | 4.95 | -8.31 | -148.69 | -2.12 | 112.62 | 178685
-0.46 | 4.99 | -8.28 | -148.50 | -2.31 | 112.37 | 178705
-0.43 | 4.95 | -8.35 | -148.50 | -2.31 | 112.37 | 178725
-0.48 | 4.99 | -8.22 | -148.50 | -2.31 | 112.37 | 178744
-0.49 | 5.00 | -8.26 | -148.50 | -2.31 | 112.37 | 178763
-0.48 | 5.00 | -8.28 | -148.50 | -2.31 | 112.37 | 178783
-0.47 | 5.00 | -8.25 | -148.50 | -2.31 | 112.37 | 178803
-0.44 | 4.97 | -8.28 | -148.50 | -2.31 | 112.37 | 178828
-0.43 | 4.98 | -8.26 | -148.50 | -2.31 | 112.37 | 178847
-0.45 | 5.00 | -8.28 | -148.50 | -2.31 | 112.37 | 178866
-0.40 | 4.98 | -8.29 | -148.50 | -2.31 | 112.37 | 178885
-0.42 | 4.98 | -8.25 | -148.50 | -2.31 | 112.37 | 178904
-0.43 | 4.98 | -8.28 | -148.50 | -2.31 | 112.37 | 178923
-0.48 | 4.99 | -8.28 | -148.50 | -2.31 | 112.37 | 178943
-0.47 | 4.98 | -8.27 | -148.50 | -2.31 | 112.44 | 178963
-0.44 | 4.99 | -8.28 | -148.50 | -2.31 | 112.44 | 178983
-0.43 | 4.98 | -8.29 | -148.50 | -2.25 | 112.44 | 179006
-0.43 | 5.00 | -8.24 | -148.50 | -2.25 | 112.44 | 179025
-0.42 | 4.98 | -8.24 | -148.50 | -2.25 | 112.44 | 179044
-0.40 | 4.97 | -8.26 | -148.56 | -2.19 | 112.44 | 179064
-0.45 | 4.99 | -8.30 | -148.56 | -2.19 | 112.44 | 179084
-0.42 | 4.97 | -8.26 | -148.50 | -2.25 | 112.37 | 179103
-0.46 | 4.98 | -8.23 | -148.50 | -2.25 | 112.37 | 179123
-0.47 | 5.02 | -8.24 | -148.50 | -2.25 | 112.37 | 179144
-0.46 | 5.00 | -8.27 | -148.50 | -2.25 | 112.37 | 179164
-0.44 | 4.97 | -8.28 | -148.50 | -2.25 | 112.44 | 179186
-0.42 | 4.97 | -8.32 | -148.50 | -2.25 | 112.44 | 179205
-0.42 | 4.99 | -8.29 | -148.50 | -2.25 | 112.44 | 179225
-0.42 | 4.99 | -8.26 | -148.44 | -2.25 | 112.44 | 179245
-0.44 | 5.01 | -8.23 | -148.44 | -2.25 | 112.44 | 179265
-0.40 | 5.00 | -8.32 | -148.44 | -2.19 | 112.37 | 179285
-0.46 | 5.05 | -8.48 | -148.37 | -2.19 | 112.37 | 179303
-0.28 | 4.98 | -8.81 | -148.25 | -1.75 | 112.19 | 179324
-0.22 | 4.99 | -8.29 | -148.06 | -1.19 | 111.94 | 179345
-0.34 | 5.18 | -8.98 | -147.94 | -0.37 | 111.75 | 179369
-0.15 | 5.26 | -9.57 | -148.37 | 1.50 | 111.19 | 179388
1.07 | 4.46 | -9.73 | -148.50 | 4.12 | 110.44 | 179407
1.32 | 4.35 | -10.40 | -148.00 | 7.06 | 108.94 | 179426
1.69 | 4.48 | -7.00 | -147.31 | 10.75 | 106.69 | 179446
1.00 | 5.75 | -6.47 | -146.81 | 13.56 | 104.50 | 179464
2.19 | 5.45 | -4.36 | -146.56 | 15.88 | 103.00 | 179485
2.50 | 5.59 | -10.07 | -146.50 | 16.75 | 102.44 | 179503
2.58 | 5.63 | -7.56 | -146.50 | 19.31 | 101.25 | 179524
1.64 | 5.45 | -4.25 | -146.81 | 23.25 | 100.31 | 179547
4.37 | 7.50 | -10.64 | -147.19 | 26.37 | 100.44 | 179566
4.09 | 5.20 | -10.82 | -146.37 | 31.12 | 100.50 | 179586
6.55 | 7.27 | -7.58 | -145.50 | 33.81 | 180.94 | 179604
4.49 | 3.83 | -5.90 | -140.25 | 42.25 | 169.62 | 179626
6.57 | 5.25 | -6.43 | -136.56 | 47.44 | 163.56 | 179646
5.30 | 3.87 | 0.97 | -134.12 | 50.25 | 160.44 | 179665
5.83 | 5.44 | -2.77 | -127.81 | 57.00 | 153.00 | 179686
10.16 | 1.22 | 0.26 | -125.81 | 59.38 | 149.87 | 179704
8.50 | 3.23 | -2.12 | -118.19 | 64.19 | 143.31 | 179728
8.68 | 3.53 | -0.25 | -112.87 | 66.06 | 140.81 | 179748
8.71 | 3.53 | -0.16 | -108.44 | 67.06 | 139.50 | 179766
8.48 | 3.81 | 0.26 | -105.25 | 67.62 | 138.44 | 179787
8.49 | 3.77 | -0.23 | -104.25 | 67.81 | 138.12 | 179805
8.80 | 3.57 | -0.02 | -102.69 | 68.19 | 138.06 | 179826
8.88 | 3.56 | -0.51 | -102.12 | 68.31 | 137.87 | 179847
8.69 | 3.73 | -0.39 | -101.69 | 68.37 | 138.12 | 179866
8.96 | 3.57 | -0.43 | -100.00 | 68.62 | 137.37 | 179887
8.79 | 3.59 | -0.28 | -98.44 | 68.75 | 136.87 | 179909
8.75 | 3.70 | -0.19 | -96.50 | 68.81 | 136.25 | 179929
8.78 | 3.58 | -0.06 | -94.56 | 68.94 | 135.87 | 179949
