Accx | Accy | Accz | Roll | Pitch | Yaw | Time(ms)
m/s^2 | m/s^2 | m/s^2 | grad | grad | grad | millisegundo
-7.83 | -0.52 | -5.30 | 173.69 | -54.88 | 359.25 | 88121
-7.84 | -0.51 | -5.37 | 173.81 | -55.06 | 359.12 | 88152
-7.95 | -0.44 | -5.37 | 173.81 | -55.19 | 359.19 | 88181
-7.96 | -0.49 | -5.40 | 173.87 | -55.25 | 359.00 | 88212
-8.21 | -0.36 | -5.56 | 173.81 | -55.19 | 359.19 | 88242
-8.05 | -0.42 | -5.49 | 174.00 | -55.13 | 359.06 | 88271
-7.66 | -0.59 | -5.28 | 174.31 | -55.25 | 358.69 | 88302
-7.77 | -0.55 | -5.19 | 174.50 | -55.31 | 358.31 | 88337
-7.86 | -0.45 | -5.21 | 174.75 | -55.56 | 357.94 | 88365
-8.24 | -0.32 | -5.12 | 174.81 | -55.88 | 357.69 | 88394
-8.19 | -0.16 | -5.36 | 175.25 | -56.56 | 356.87 | 88422
-8.19 | -0.38 | -4.93 | 175.75 | -57.56 | 356.06 | 88452
-8.02 | -0.45 | -5.07 | 176.06 | -58.25 | 355.62 | 88480
-8.15 | -0.31 | -4.61 | 176.31 | -59.13 | 355.12 | 88512
-8.31 | -0.18 | -4.78 | 176.62 | -59.63 | 354.56 | 88542
-8.22 | -0.14 | -4.71 | 176.44 | -59.94 | 354.75 | 88570
-8.28 | -0.13 | -4.64 | 176.81 | -60.50 | 354.25 | 88604
-8.22 | -0.27 | -4.36 | 177.00 | -60.75 | 353.94 | 88632
-8.43 | -0.18 | -4.52 | 176.75 | -60.69 | 354.37 | 88663
-8.42 | -0.11 | -4.56 | 176.25 | -60.69 | 355.00 | 88693
-8.43 | -0.06 | -4.67 | 176.12 | -60.69 | 355.12 | 88722
-8.46 | -0.07 | -4.59 | 176.25 | -60.81 | 354.94 | 88753
-8.60 | -0.13 | -4.50 | 176.56 | -60.94 | 354.37 | 88780
-8.48 | -0.14 | -4.47 | 176.87 | -61.06 | 354.12 | 88809
-8.28 | -0.32 | -4.48 | 176.81 | -60.88 | 354.37 | 88837
-8.22 | -0.30 | -4.67 | 176.94 | -60.81 | 354.31 | 88870
-8.51 | -0.26 | -4.56 | 176.87 | -60.69 | 354.25 | 88898
-8.46 | -0.18 | -4.65 | 177.00 | -60.94 | 354.12 | 88926
-8.51 | -0.04 | -4.59 | 177.25 | -61.19 | 353.75 | 88956
-8.06 | -0.26 | -4.78 | 177.81 | -61.00 | 352.94 | 88984
-8.57 | -0.11 | -5.90 | 176.25 | -57.44 | 354.25 | 89015
-7.44 | 1.59 | -6.78 | 173.00 | -49.69 | 0.62 | 89046
-6.89 | -2.31 | -3.37 | 171.12 | -41.81 | 349.94 | 89074
-5.54 | -0.25 | -9.71 | 167.94 | -31.12 | 350.87 | 89105
-3.44 | -1.02 | -12.83 | 161.75 | -9.44 | 352.87 | 89137
0.85 | -4.06 | -7.86 | 155.69 | 3.12 | 355.06 | 89167
1.38 | -3.79 | -7.05 | 156.19 | 6.44 | 356.31 | 89197
4.00 | -5.77 | -7.85 | 159.94 | 10.38 | 357.06 | 89225
6.59 | -0.47 | -9.88 | 166.50 | 35.94 | 359.81 | 89256
5.57 | 0.27 | -6.25 | 161.25 | 56.25 | 343.81 | 89284
6.15 | -4.73 | -3.46 | 122.19 | 72.81 | 358.75 | 89314
7.86 | -1.91 | 0.06 | 91.69 | 68.06 | 4.31 | 89345
5.48 | -2.96 | 0.51 | 78.62 | 57.06 | 0.81 | 89373
4.34 | -5.56 | 0.97 | 69.31 | 46.00 | 358.44 | 89408
5.24 | -7.64 | 3.64 | 65.62 | 42.19 | 358.25 | 89436
6.33 | -5.78 | 5.96 | 60.00 | 38.75 | 359.12 | 89468
5.09 | -7.55 | 6.84 | 52.63 | 34.75 | 0.62 | 89498
6.91 | -6.51 | 6.92 | 50.38 | 32.00 | 1.87 | 89526
0.89 | -6.27 | 4.94 | 48.75 | 26.19 | 2.94 | 89557
2.01 | -6.15 | 6.33 | 44.88 | 22.75 | 3.31 | 89585
3.85 | -2.59 | 9.36 | 39.38 | 19.94 | 2.87 | 89614
-1.74 | -4.66 | 7.70 | 34.13 | 15.13 | 3.19 | 89643
-0.07 | -3.90 | 4.76 | 29.19 | 9.13 | 5.00 | 89671
-1.19 | -2.39 | 10.48 | 21.06 | 5.94 | 5.25 | 89704
1.47 | -0.58 | 11.60 | 14.88 | 7.69 | 4.44 | 89732
1.82 | -0.58 | 10.39 | 9.75 | 8.38 | 3.56 | 89761
-0.54 | -1.76 | 11.42 | 5.81 | 8.25 | 3.56 | 89790
0.78 | -2.46 | 9.58 | 2.25 | 8.25 | 3.06 | 89821
-0.58 | 1.07 | 12.32 | -0.81 | 6.69 | 1.87 | 89851
0.25 | 0.15 | 9.24 | -1.62 | 5.37 | 1.87 | 89879
0.59 | -1.33 | 7.58 | -3.19 | 5.25 | 2.50 | 89910
2.55 | 0.37 | 8.88 | -7.25 | 9.25 | 3.69 | 89938
2.79 | 2.42 | 10.19 | -11.06 | 13.94 | 4.50 | 89968
3.74 | 2.77 | 8.00 | -12.56 | 17.69 | 5.87 | 90002
3.48 | 2.59 | 7.89 | -13.25 | 18.87 | 5.94 | 90030
4.39 | 5.89 | 15.18 | -16.06 | 21.44 | 4.69 | 90061
0.25 | 1.29 | 8.86 | -15.31 | 20.75 | 3.06 | 90089
2.69 | 5.95 | 9.84 | -14.19 | 18.56 | 2.37 | 90121
2.09 | 2.13 | 9.17 | -11.88 | 17.56 | 2.62 | 90152
2.25 | 2.63 | 9.87 | -10.50 | 17.81 | 2.94 | 90179
3.27 | 2.08 | 5.69 | -8.25 | 18.19 | 2.75 | 90210
1.67 | 1.60 | 8.76 | -9.13 | 13.06 | 359.75 | 90238
0.13 | 3.23 | 10.78 | -10.81 | 10.50 | 358.62 | 90266
2.06 | 1.61 | 5.78 | -9.50 | 12.38 | 358.00 | 90301
1.05 | 2.11 | 8.31 | -10.13 | 10.00 | 355.75 | 90329
2.08 | 2.35 | 6.54 | -9.00 | 8.06 | 354.19 | 90358
1.13 | 1.63 | 7.56 | -6.44 | 6.56 | 352.75 | 90386
-1.13 | 1.75 | 12.28 | -0.62 | 3.25 | 351.94 | 90415
3.82 | 1.71 | 6.23 | 0.37 | 4.87 | 351.81 | 90443
-2.64 | 1.23 | 12.31 | -0.06 | 3.31 | 351.62 | 90474
-0.16 | -0.25 | 9.41 | -0.13 | 3.25 | 351.94 | 90504
-0.98 | 0.71 | 11.07 | -0.19 | 3.12 | 351.94 | 90533
0.08 | 0.16 | 9.38 | -0.19 | 3.12 | 352.12 | 90566
0.01 | 0.22 | 9.49 | -0.13 | 3.31 | 352.12 | 90594
-0.57 | 0.60 | 10.41 | -0.19 | 3.19 | 352.12 | 90625
-0.11 | 0.31 | 9.50 | -0.31 | 2.87 | 352.19 | 90655
-0.13 | 0.33 | 9.63 | -0.37 | 2.69 | 352.19 | 90683
-0.28 | 0.42 | 9.97 | -0.56 | 2.37 | 352.19 | 90714
-0.22 | 0.39 | 9.82 | -0.62 | 2.12 | 352.19 | 90742
-0.16 | 0.36 | 9.72 | -0.69 | 2.00 | 352.19 | 90770
-0.14 | 0.33 | 9.69 | -0.81 | 1.81 | 352.19 | 90798
-0.20 | 0.40 | 9.73 | -0.88 | 1.62 | 352.19 | 90828
-0.20 | 0.37 | 9.75 | -0.94 | 1.50 | 352.25 | 90859
-0.17 | 0.36 | 9.69 | -1.00 | 1.37 | 352.25 | 90888
-0.17 | 0.36 | 9.69 | -1.06 | 1.31 | 352.25 | 90918
-0.20 | 0.37 | 9.71 | -1.06 | 1.19 | 352.25 | 90947
-0.18 | 0.37 | 9.72 | -1.12 | 1.06 | 352.25 | 90978
-0.17 | 0.37 | 9.70 | -1.19 | 1.00 | 352.25 | 91008
-0.19 | 0.37 | 9.74 | -1.19 | 0.94 | 352.25 | 91036
-0.18 | 0.37 | 9.72 | -1.25 | 0.81 | 352.25 | 91067
-0.15 | 0.37 | 9.73 | -1.25 | 0.75 | 352.25 | 91098
-0.19 | 0.39 | 9.69 | -1.31 | 0.69 | 352.25 | 91128
-0.17 | 0.36 | 9.71 | -1.31 | 0.62 | 352.12 | 91161
-0.17 | 0.39 | 9.71 | -1.37 | 0.62 | 352.06 | 91190
-0.17 | 0.39 | 9.70 | -1.37 | 0.56 | 352.06 | 91219
-0.17 | 0.38 | 9.73 | -1.44 | 0.50 | 352.06 | 91249
-0.18 | 0.35 | 9.72 | -1.44 | 0.44 | 352.06 | 91279
-0.19 | 0.36 | 9.71 | -1.44 | 0.44 | 352.00 | 91309
-0.19 | 0.37 | 9.70 | -1.44 | 0.37 | 352.00 | 91338
-0.17 | 0.36 | 9.73 | -1.50 | 0.31 | 352.06 | 91369
-0.19 | 0.38 | 9.74 | -1.50 | 0.31 | 351.94 | 91399
-0.19 | 0.37 | 9.70 | -1.50 | 0.25 | 351.94 | 91432
-0.19 | 0.37 | 9.74 | -1.56 | 0.19 | 351.75 | 91461
-0.16 | 0.38 | 9.73 | -1.56 | 0.19 | 351.75 | 91490
-0.17 | 0.38 | 9.70 | -1.56 | 0.13 | 351.75 | 91520
-0.18 | 0.35 | 9.71 | -1.56 | 0.13 | 351.75 | 91551
-0.18 | 0.38 | 9.70 | -1.62 | 0.13 | 351.75 | 91581
-0.19 | 0.38 | 9.75 | -1.62 | 0.06 | 351.94 | 91611
-0.20 | 0.36 | 9.70 | -1.62 | 0.06 | 351.94 | 91640
-0.19 | 0.37 | 9.70 | -1.62 | 0.00 | 351.94 | 91671
-0.17 | 0.36 | 9.71 | -1.62 | 0.00 | 351.75 | 91702
