J CT CP eta V T P_disp P_nec RC
0.370568 0.046607 0.024517 0.704448 10.147852 10.607139 107.639677 27.931779 3.377453
0.392596 0.042794 0.023154 0.725600 10.751079 9.739351 104.708532 32.558214 3.057217
0.415527 0.038302 0.021733 0.732337 11.379035 8.717031 99.191401 37.994304 2.593097
0.438102 0.033917 0.020226 0.734671 11.997242 7.719063 92.607467 43.995628 2.059824
0.462682 0.029573 0.018725 0.730734 12.670355 6.730425 85.276874 51.300794 1.439664
0.488127 0.025403 0.017356 0.714464 13.367156 5.781388 77.280715 59.753202 0.742691
0.508803 0.020855 0.015535 0.683041 13.933360 4.746323 66.132227 67.320436 -0.050348
0.531844 0.016297 0.013688 0.633210 14.564328 3.708983 54.018845 76.525033 -0.953652
0.552169 0.011492 0.011568 0.548561 15.120920 2.615428 39.547678 85.347233 -1.940659
0.575442 0.006559 0.009325 0.404791 15.758241 1.492742 23.522988 96.290611 -3.083374
0.598153 0.001638 0.007023 0.139508 16.380173 0.372787 6.106316 107.869650 -4.312006
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
0.599916 0.001658 0.007072 0.140623 16.428452 0.377339 6.199096 108.806686 -4.347779
