J CT CP eta V T P_disp P_nec RC
0.291872 0.079187 0.034141 0.676960 7.992794 18.021918 144.045478 15.739179 5.436708
0.310398 0.076958 0.034074 0.701057 8.500121 17.514627 148.876449 18.038334 5.543988
0.328268 0.074193 0.033747 0.721711 8.989483 16.885350 151.790567 20.578133 5.559849
0.347340 0.071416 0.033431 0.741986 9.511762 16.253341 154.597911 23.653292 5.548501
0.365571 0.068536 0.033020 0.758767 10.011011 15.597891 156.150658 26.960448 5.474161
0.383483 0.065419 0.032452 0.773040 10.501523 14.888503 156.351957 30.575182 5.329524
0.400957 0.062011 0.031704 0.784254 10.980042 14.112887 154.960092 34.465355 5.105709
0.418299 0.058348 0.030703 0.794944 11.454945 13.279236 152.112918 38.695843 4.805808
0.433539 0.054693 0.029614 0.800703 11.872286 12.447406 147.779164 42.729065 4.451275
0.452953 0.050533 0.028331 0.807900 12.403931 11.500645 142.653207 48.310713 3.997563
0.470074 0.046168 0.026929 0.805922 12.872782 10.507229 135.257268 53.660945 3.457471
0.489575 0.041728 0.025543 0.799787 13.406809 9.496743 127.321020 60.262392 2.841467
0.505769 0.036660 0.023634 0.784525 13.850275 8.343333 115.557456 66.169677 2.092703
0.526643 0.031702 0.021742 0.767903 14.421901 7.214958 104.053410 74.374483 1.257582
0.544202 0.027194 0.019894 0.743920 14.902747 6.188996 92.233042 81.808936 0.441699
0.563218 0.022108 0.017732 0.702187 15.423492 5.031490 77.603146 90.428583 -0.543451
0.584476 0.017646 0.015682 0.657660 16.005634 4.015997 64.278578 100.788123 -1.547015
0.602380 0.013273 0.013586 0.588539 16.495927 3.020760 49.830236 110.125647 -2.554890
0.619334 0.009459 0.011790 0.496890 16.960206 2.152744 36.510982 119.500179 -3.516491
0.639872 0.005299 0.009816 0.345442 17.522630 1.205983 21.131994 131.571011 -4.679619
0.655653 0.001464 0.007838 0.122501 17.954786 0.333187 5.982301 141.392875 -5.737736
0.655462 0.001451 0.007832 0.121457 17.949556 0.330228 5.927446 141.271116 -5.734901
0.655462 0.001451 0.007832 0.121457 17.949556 0.330228 5.927446 141.271116 -5.734901
0.655462 0.001451 0.007832 0.121457 17.949556 0.330228 5.927446 141.271116 -5.734901
